Run;Step;Algorithm;Policy;J;Avg_cost;Tau;Epsilon
9;20000;gr-learning;epsilon;2.221;-;-;2.48e-04
10;2000;gr-learning;epsilon;2.412;-;-;5.49e-02
10;4000;gr-learning;epsilon;2.158;-;-;3.01e-02
10;6000;gr-learning;epsilon;2.036;-;-;1.65e-02
10;8000;gr-learning;epsilon;1.968;-;-;9.07e-03
10;10000;gr-learning;epsilon;1.925;-;-;4.98e-03
10;12000;gr-learning;epsilon;1.897;-;-;2.73e-03
10;14000;gr-learning;epsilon;1.878;-;-;1.50e-03
10;16000;gr-learning;epsilon;1.868;-;-;8.22e-04
10;18000;gr-learning;epsilon;1.853;-;-;4.51e-04
10;20000;gr-learning;epsilon;1.844;-;-;2.48e-04
